,user_id,af0,cycle,gender,age,activity_id,af1,af2,dificulty,topic,run_number
0,1,50,1,1,45,2,42.0,43.5,3,1,1
1,1,50,2,1,45,61,34.0,42.0,5,1,1
2,1,50,3,1,45,110,64.5,57.0,3,1,1
3,1,50,4,1,45,179,46.0,52.5,4,2,1
4,1,50,5,1,45,159,49.5,45.5,1,2,1
5,1,50,6,1,45,126,58.5,61.0,4,2,1
6,1,50,7,1,45,110,58.0,63.5,5,2,1
7,1,50,8,1,45,227,37.0,34.5,2,1,1
8,1,50,9,1,45,142,42.0,35.0,4,1,1
9,1,50,10,1,45,61,53.5,49.0,4,1,1
10,1,50,11,1,45,50,48.5,46.5,4,2,1
11,1,50,12,1,45,230,44.0,58.0,2,3,1
12,1,50,13,1,45,217,63.5,67.0,1,3,1
13,1,50,14,1,45,114,32.0,18.0,5,1,1
14,1,50,15,1,45,128,58.0,53.0,4,3,1
15,1,50,16,1,45,83,58.0,56.0,4,1,1
16,1,50,17,1,45,223,34.0,38.0,2,2,1
17,1,50,18,1,45,188,53.5,62.5,4,1,1
18,1,50,19,1,45,93,55.0,58.0,2,3,1
19,1,50,20,1,45,108,44.0,45.5,3,2,1
20,2,46,1,0,21,110,42.5,25.0,1,3,1
21,2,46,2,0,21,201,38.5,36.0,2,1,1
22,2,46,3,0,21,13,20.5,33.5,4,3,1
23,2,46,4,0,21,148,32.5,55.5,1,1,1
24,2,46,5,0,21,96,38.5,44.5,1,1,1
25,2,46,6,0,21,229,31.5,18.5,5,1,1
26,2,46,7,0,21,200,57.0,51.0,4,3,1
27,2,46,8,0,21,56,39.0,38.0,4,3,1
28,2,46,9,0,21,89,47.0,50.0,1,3,1
29,2,46,10,0,21,233,47.0,48.0,1,3,1
30,2,46,11,0,21,148,49.5,47.5,2,3,1
31,2,46,12,0,21,136,63.0,58.0,3,2,1
32,2,46,13,0,21,79,51.5,58.0,4,3,1
33,2,46,14,0,21,246,43.5,30.0,4,2,1
34,2,46,15,0,21,235,48.0,48.0,2,2,1
35,2,46,16,0,21,31,20.5,6.5,3,3,1
36,2,46,17,0,21,236,69.5,76.0,3,1,1
